,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,523.32328125
8,7733.55515625
9,15932.286562500001
10,20816.6371875
11,16630.0509375
12,23665.84171875
13,5116.93875
14,12617.905781250001
15,4535.468437500001
16,465.17625000000004
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,523.32328125
32,8780.20171875
33,12152.729531250001
34,19246.667343750003
35,23200.66546875
36,20293.31390625
37,13955.2875
38,5640.26203125
39,4884.350625
40,348.88218750000004
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,58.147031250000005
56,1802.55796875
57,3372.5278125000004
58,4477.32140625
59,4826.20359375
60,5407.67390625
61,4419.1743750000005
62,3023.645625
63,3546.96890625
64,232.58812500000002
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,348.88218750000004
80,6512.467500000001
81,16862.639062500002
82,22735.48921875
83,23665.84171875
84,19304.814375
85,21688.842656250003
86,15699.698437500001
87,7152.084843750001
88,523.32328125
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,523.32328125
104,8373.1725
105,15874.13953125
106,22444.7540625
107,26689.487343750003
108,24654.34125
109,21979.577812500003
110,14943.787031250002
111,7500.96703125
112,348.88218750000004
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,523.32328125
128,7675.408125000001
129,15932.286562500001
130,20816.6371875
131,15292.669218750001
132,10233.8775
133,6919.496718750001
134,3663.2629687500003
135,3314.3807812500004
136,697.7643750000001
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,290.73515625000005
152,5989.144218750001
153,17327.815312500003
154,23840.2828125
155,25352.105625000004
156,25526.546718750003
157,23375.1065625
158,17444.109375
159,7849.849218750001
160,232.58812500000002
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,174.44109375000002
176,3430.6748437500005
177,10582.759687500002
178,6570.61453125
179,5582.115000000001
180,5407.67390625
181,4419.1743750000005
182,3372.5278125000004
183,1918.8520312500002
184,174.44109375000002
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,232.58812500000002
200,5000.6446875
201,8954.6428125
202,9303.525000000001
203,14013.43453125
204,9884.995312500001
205,13083.082031250002
206,5058.791718750001
207,2209.5871875000003
208,348.88218750000004
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,581.4703125000001
224,9303.525000000001
225,15118.228125000001
226,10582.759687500002
227,26922.07546875
228,25933.5759375
229,22793.636250000003
230,16455.60984375
231,9129.08390625
232,988.4995312500001
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,639.61734375
248,9070.936875000001
249,15874.13953125
250,12269.02359375
251,11803.847343750002
252,19711.84359375
253,24305.459062500002
254,17909.285625
255,8896.495781250002
256,1162.9406250000002
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,174.44109375000002
272,3430.6748437500005
273,10117.583437500001
274,15699.698437500001
275,14362.31671875
276,19595.549531250002
277,16455.60984375
278,10640.90671875
279,8547.61359375
280,1337.3817187500001
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,232.58812500000002
296,4419.1743750000005
297,8896.495781250002
298,10117.583437500001
299,11396.818125000002
300,12152.729531250001
301,5930.9971875
302,8140.584375
303,4302.8803125
304,407.02921875000004
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,348.88218750000004
320,5523.96796875
321,7268.378906250001
322,4535.468437500001
323,5233.2328125
324,5814.703125000001
325,4826.20359375
326,3430.6748437500005
327,3139.9396875
328,523.32328125
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,174.44109375000002
344,2325.8812500000004
345,3372.5278125000004
346,4535.468437500001
347,5233.2328125
348,13257.523125000002
349,10931.641875000001
350,8140.584375
351,9536.113125000002
352,1162.9406250000002
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,697.7643750000001
368,9652.4071875
369,13024.935000000001
370,12269.02359375
371,24945.076406250002
372,18200.02078125
373,24770.635312500002
374,18200.02078125
375,10233.8775
376,1802.55796875
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,755.91140625
392,9419.8190625
393,16513.756875000003
394,24654.34125
395,26863.928437500002
396,28782.780468750003
397,24538.0471875
398,18607.050000000003
399,10350.171562500002
400,1918.8520312500002
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,174.44109375000002
416,2907.3515625000005
417,3372.5278125000004
418,5349.5268750000005
419,9943.142343750002
420,8896.495781250002
421,4884.350625
422,3779.5570312500004
423,2035.14609375
424,1046.6465625
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,872.20546875
440,10059.43640625
441,18490.755937500002
442,25410.252656250002
443,25061.370468750003
444,26980.222500000003
445,24363.60609375
446,18548.90296875
447,10408.31859375
448,1918.8520312500002
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
