,0,1,2,3
0,0.08,0.0,0.23975790800000002,1.0
1,0.08,0.0,0.273658597,1.0
2,0.08,0.0,0.270383127,1.0
3,0.08,0.0,0.26368869300000003,1.0
4,0.08,0.0,0.263670279,1.0
5,0.11,0.0,0.256445238,1.0
6,0.11,0.0,0.267006115,1.0
7,0.11,0.0,0.27455094399999996,1.0
8,0.11,0.0,0.267613187,1.0
9,0.11,0.0,0.266741336,1.0
10,0.11,0.0,0.26746132,1.0
11,0.11,0.0,0.269173428,1.0
12,0.11,0.0,0.269990956,1.0
13,0.11,0.0,0.271028271,1.0
14,0.08,0.0,0.270058934,1.0
15,0.08,0.0,0.268036139,1.0
16,0.08,0.0,0.23624217100000003,1.0
17,0.11,0.0,0.177314676,1.0
18,0.11,0.0,0.154404466,1.0
19,0.11,0.0,0.147119995,1.0
20,0.11,0.0,0.14706065699999998,1.0
21,0.11,0.0,0.150619718,1.0
22,0.11,0.0,0.156484683,1.0
23,0.11,0.0,0.184585793,1.0
24,0.08,0.0,0.25024860600000004,1.0
25,0.08,0.0,0.289011446,1.0
26,0.08,0.0,0.288417659,1.0
27,0.08,0.0,0.288337825,1.0
28,0.08,0.0,0.289301535,1.0
29,0.11,0.0,0.29418243,1.0
30,0.11,0.0,0.29639342399999996,1.0
31,0.11,0.0,0.304166993,1.0
32,0.11,0.0,0.303465012,1.0
33,0.11,0.0,0.295390834,1.0
34,0.11,0.0,0.296951475,1.0
35,0.11,0.0,0.295942991,1.0
36,0.11,0.0,0.29557813899999996,1.0
37,0.11,0.0,0.286425806,1.0
38,0.08,0.0,0.28021787600000003,1.0
39,0.08,0.0,0.275590509,1.0
40,0.08,0.0,0.246901798,1.0
41,0.11,0.0,0.217547715,1.0
42,0.11,0.0,0.20800575100000002,1.0
43,0.11,0.0,0.21188236100000002,1.0
44,0.11,0.0,0.203469985,1.0
45,0.11,0.0,0.20174188899999998,0.0
46,0.11,0.0,0.195967453,0.0
47,0.11,0.0,0.21443742899999998,0.0
48,0.08,0.0,0.272056768,0.0
49,0.08,0.0,0.300616844,0.0
50,0.08,0.0,0.296783156,0.0
51,0.08,0.0,0.291532829,0.0
52,0.08,0.0,0.290556598,1.0
53,0.11,0.0,0.294955075,1.0
54,0.11,0.0,0.294574193,1.0
55,0.11,0.0,0.300728842,1.0
56,0.11,0.0,0.30272249100000004,1.0
57,0.11,0.0,0.31236428,1.0
58,0.11,0.0,0.30793954100000004,1.0
59,0.11,0.0,0.309055794,1.0
60,0.11,0.0,0.308309809,1.0
61,0.11,0.0,0.307864263,1.0
62,0.08,0.0,0.300942505,1.0
63,0.08,0.0,0.296042317,1.0
64,0.08,0.0,0.268257638,1.0
65,0.11,0.0,0.226625768,1.0
66,0.11,0.0,0.207230953,1.0
67,0.11,0.0,0.20124007,1.0
68,0.11,0.0,0.196122838,1.0
69,0.11,0.0,0.193176453,1.0
70,0.11,0.0,0.193404135,1.0
71,0.11,0.0,0.213004368,1.0
72,0.08,0.0,0.263539846,1.0
73,0.08,0.0,0.296691293,1.0
74,0.08,0.0,0.296315322,1.0
75,0.08,0.0,0.294381326,1.0
76,0.08,0.0,0.297044876,1.0
77,0.11,0.0,0.302081347,1.0
78,0.11,0.0,0.305479609,1.0
79,0.11,0.0,0.310128117,1.0
80,0.11,0.0,0.3087233,1.0
81,0.11,0.0,0.311700663,1.0
82,0.11,0.0,0.308973918,1.0
83,0.11,0.0,0.305551591,1.0
84,0.11,0.0,0.304476064,1.0
85,0.11,0.0,0.29737126399999997,1.0
86,0.08,0.0,0.299913497,1.0
87,0.08,0.0,0.295400355,1.0
88,0.08,0.0,0.267633036,1.0
89,0.11,0.0,0.22604379800000002,1.0
90,0.11,0.0,0.211563169,1.0
91,0.11,0.0,0.20217758600000002,1.0
92,0.11,0.0,0.19741457,1.0
93,0.11,0.0,0.19316956600000001,1.0
94,0.11,0.0,0.197307382,1.0
95,0.11,0.0,0.205310133,1.0
96,0.08,0.0,0.26027688,1.0
97,0.08,0.0,0.29646968100000004,1.0
98,0.08,0.0,0.291818727,1.0
99,0.08,0.0,0.289371423,1.0
100,0.08,0.0,0.294616941,1.0
101,0.11,0.0,0.29810709,0.0
102,0.11,0.0,0.295023839,0.0
103,0.11,0.0,0.295312882,0.0
104,0.11,0.0,0.302571943,0.0
105,0.11,0.0,0.3064725,0.0
106,0.11,0.0,0.314152679,0.0
107,0.11,0.0,0.314814876,0.0
108,0.11,0.0,0.31099023,1.0
109,0.11,0.0,0.308228761,1.0
110,0.08,0.0,0.301228412,1.0
111,0.08,0.0,0.298608843,1.0
112,0.08,0.0,0.291481056,1.0
113,0.11,0.0,0.28382679,1.0
114,0.11,0.0,0.276813705,1.0
115,0.11,0.0,0.27215815,1.0
116,0.11,0.0,0.269548695,1.0
